2021-12-10 10:48:52,459 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:48:52,459 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 시작
2021-12-10 10:48:52,690 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:48:52,690 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 1 페이지
2021-12-10 10:48:52,701 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:48:52,701 | INFO | crawling | crawling_main() | crawling | C003/301/3101/news | 크롤링 대상 : 10 건
2021-12-10 10:56:34,428 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:56:34,428 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 시작
2021-12-10 10:56:40,631 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:56:40,631 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 1 페이지
2021-12-10 10:56:45,659 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:56:45,659 | INFO | crawling | crawling_main() | crawling | C002/202/2209/news | 크롤링 대상 : 20 건
2021-12-10 10:57:11,702 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 10:57:11,702 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 10:57:11,728 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 10:57:11,728 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 10:57:16,755 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 10:57:16,755 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 10:57:57,581 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception [WinError 183] 파일이 이미 있으므로 만들 수 없습니다: 'C:/mou/datalake/nams\\C002\\202\\2203\\pressrelease\\2021\\12\\10\\95086270\\doc\\211202(조간)_동아시아철도공동체 국제포럼 개최(철도정책과).hwp' -> 'C:/mou/datalake/nams\\C002\\202\\2203\\pressrelease\\2021\\12\\10\\95086270\\doc\\95086270_1.hwp'
2021-12-10 10:57:57,581 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception [WinError 183] 파일이 이미 있으므로 만들 수 없습니다: 'C:/mou/datalake/nams\\C002\\202\\2203\\pressrelease\\2021\\12\\10\\95086270\\doc\\211202(조간)_동아시아철도공동체 국제포럼 개최(철도정책과).hwp' -> 'C:/mou/datalake/nams\\C002\\202\\2203\\pressrelease\\2021\\12\\10\\95086270\\doc\\95086270_1.hwp'
2021-12-10 10:58:48,671 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 10:58:48,671 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
2021-12-10 10:58:48,697 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 10:58:48,697 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 2 페이지
2021-12-10 10:58:53,716 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 10:58:53,716 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 대상 : 10 건
2021-12-10 11:00:11,005 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception time data '2021-12-01 11:00' does not match format '%Y%m%d%H%M%S'
2021-12-10 11:00:11,005 | ERROR | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | Exception time data '2021-12-01 11:00' does not match format '%Y%m%d%H%M%S'
2021-12-10 11:14:05,721 | ERROR | crawling | crawling_main() | crawling | C002/201/2106/alltrends | Exception 'paging_data'
2021-12-10 11:14:05,721 | ERROR | crawling | crawling_main() | crawling | C002/201/2106/alltrends | Exception 'paging_data'
2021-12-10 11:15:45,255 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 시작
2021-12-10 11:15:45,255 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 시작
2021-12-10 11:15:49,453 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 1 페이지
2021-12-10 11:15:49,453 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 1 페이지
2021-12-10 11:15:49,466 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 11:15:49,466 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 12:48:58,920 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 시작
2021-12-10 12:48:58,920 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 시작
2021-12-10 12:49:03,099 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 1 페이지
2021-12-10 12:49:03,099 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 1 페이지
2021-12-10 12:49:03,116 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 12:49:03,116 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 12:51:57,632 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 성공 : 7 건
2021-12-10 12:51:57,632 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 성공 : 7 건
2021-12-10 12:52:07,577 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 2 페이지
2021-12-10 12:52:07,577 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 2 페이지
2021-12-10 12:52:07,587 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 12:52:07,587 | INFO | crawling | crawling_main() | crawling | C002/201/2106/alltrends | 크롤링 대상 : 10 건
2021-12-10 12:52:13,049 | INFO | crawling | crawling_main() | crawling | C002/202/2203/pressrelease | 크롤링 시작
